stateCategory,stateCategory-href,schoolLink,schoolLink-href,name,brief,website,acronym,founded,motto,address,phone,fax,locations,admissionOffice,students,academicCalendar,staff,campusSetting,controlType,religiousAffiliation,entityType,library,financialAid,housing,studyAbroad,sportFacility,distanceLearning,accreditations,affiliations,facebook,twitter,linkedin,instagram,youtube,itunes,wikipedia,admissionRate,BDtuitionIn,BDtuitionOut,MDtuitionIn,MDtuitionOut
"Manitoba","http://www.4icu.org/ca/manitoba/","University of Manitoba","http://www.4icu.org/reviews/591.htm","University of Manitoba","Founded in 1877, University of Manitoba is a non-profit public higher education institution located in the urban setting of the medium-sized city of Winnipeg (population range of 500,000-1,000,000 inhabitants), Manitoba.  Officially accredited and/or recognized by the Department of Advanced Education and Literacy, Manitoba, University of Manitoba (U of M) is a large (uniRank enrollment range: 20,000-24,999 students) coeducational higher education institution. University of Manitoba (U of M) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation degrees), bachelor degrees, master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. International students are welcome to apply for enrollment.  U of M also provides several academic and non-academic facilities and services to students including a library,  sport facilities and/or activities,  as well as administrative services.","http://www.umanitoba.ca","U of M","1877","Floreat
Flourish","66 Chancellors Circle

Winnipeg (population range: 500,000-1,000,000)

R3T 2N2 Manitoba Canada","+1 (204) 474 8880","+1 (204) 474 7659","null","+1","20,000-24,999","Not reported","3,500-3,999","Urban","Public","None","Non-Profit","Yes","Not reported","Not reported","Not reported","Yes","Not reported","[{""accreditations"":""\n\nDepartment of Advanced Education and Literacy, Manitoba\n""},{""accreditations"":""Association to Advance Collegiate Schools of Business (AACSB International)""},{""accreditations"":""American Psychological Association (APA)""},{""accreditations"":""Foundation for Interior Design Education and Research (FIDER)""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Association of Commonwealth Universities (ACU)""},{""affiliations"":""Canadian Virtual University (CVU)""}]","https://www.facebook.com/umanitoba/","https://twitter.com/umanitoba","https://www.linkedin.com/school/11692","","","Not reported","https://en.wikipedia.org/wiki/University_of_Manitoba","Not reported","2,500-5,000 US$ (1,800-3,700 Euro)","7,500-10,000 US$ (5,500-7,400 Euro)","2,500-5,000 US$ (1,800-3,700 Euro)","7,500-10,000 US$ (5,500-7,400 Euro)"
"British Columbia","http://www.4icu.org/ca/british-columbia/","Trinity Western University","http://www.4icu.org/reviews/580.htm","Trinity Western University","Established in 1986, Trinity Western University is a non-profit private higher education institution located in the suburban setting of the large town of Langley (population range of 50,000-249,999 inhabitants), British Columbia.  Officially accredited and/or recognized by the Ministry of Advanced Education, British Columbia, Trinity Western University (TWU) is a small (uniRank enrollment range: 2,000-2,999 students) coeducational higher education institution formally affiliated with the Christian-Evangelical religion. Trinity Western University (TWU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees, master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. International applicants are eligible to apply for enrollment.  TWU also provides several academic and non-academic facilities and services to students including a library,  housing,  sport facilities and/or activities,  financial aids and/or scholarships,  as well as administrative services.","http://www.twu.ca","TWU","1986 Origins date back to 1962","Turris Fortis Deus Noster
A Mighty Fortress Is Our God","7600 Glover Road

Langley (population range: 50,000-249,999)

V2Y 1Y1 British Columbia Canada","+1 (604) 888 7511","+1 (604) 513 2061","null","+1","2,000-2,999","Semesters","Not reported","Suburban","Private","Christian-Evangelical","Non-Profit","Yes","Yes","Yes","Not reported","Yes","Not reported","[{""accreditations"":""\n\nMinistry of Advanced Education, British Columbia\n""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Council for Christian Colleges and Universities (CCCU)""},{""affiliations"":""Association of Theological Schools in the United States and Canada (ATS)""},{""affiliations"":""Christian Higher Education Canada (CHEC)""},{""affiliations"":""U Sports""},{""affiliations"":""Canadian University Press (CUP)""}]","https://www.facebook.com/trinitywestern/","https://twitter.com/TrinityWestern","https://www.linkedin.com/school/19704","","","Not reported","https://en.wikipedia.org/wiki/Trinity_Western_University","Not reported","Not reported","Not reported","Not reported","Not reported"
"British Columbia","http://www.4icu.org/ca/british-columbia/","Royal Roads University","http://www.4icu.org/reviews/564.htm","Royal Roads University","Established in 1995, Royal Roads University is a non-profit public higher education institution located in the urban setting of the small city of Victoria (population range of 250,000-499,999 inhabitants), British Columbia.  Officially accredited and/or recognized by the Ministry of Advanced Education, British Columbia, Royal Roads University (RRU) is a small (uniRank enrollment range: 4,000-4,999 students) coeducational higher education institution. Royal Roads University (RRU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation degrees), bachelor degrees, master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. International applicants are eligible to apply for enrollment.  RRU also provides several academic and non-academic facilities and services to students including a library,  housing,  sport facilities and/or activities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services.","http://www.royalroads.ca","RRU","1995 Origins date back to 1940","Canada's University for Working Professionals","2005 Sooke Road

Victoria (population range: 250,000-499,999)

V9B 5Y2 British Columbia Canada","+1 800 788 8028","+1 (250) 391 2500","null","Mews Building, 2005 Sooke Road

Victoria V9B 5Y2+1 (250) 391 2528

(877) 778 6227","4,000-4,999","Continuous","400-499","urban","Public","None","Non-Profit","Yes","Yes","Yes","Yes","Yes","Yes","[{""accreditations"":""\n\nMinistry of Advanced Education, British Columbia\n""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Association of Commonwealth Universities (ACU)""},{""affiliations"":""Canadian Virtual University (CVU)""},{""affiliations"":""Canadian Bureau for International Education (CBIE)""}]","https://www.facebook.com/royalroadsu/","https://twitter.com/royalroads","https://www.linkedin.com/school/19123","","","Not reported","https://en.wikipedia.org/wiki/Royal_Roads_University","Not reported","Not reported","Not reported","Not reported","Not reported"
"Quebec","http://www.4icu.org/ca/quebec/","École Nationale d'Administration Publique","http://www.4icu.org/reviews/7274.htm","École Nationale d'Administration Publique","Established in 1969, École Nationale d'Administration Publique (National School of Public Administration) is a non-profit public higher education institution located in the urban setting of the medium-sized city of Quebec City (population range of 500,000-1,000,000 inhabitants), Quebec. This institution has also branch campuses in the following location(s): Montréal, Quebec city, Gatineau, Saguenay, Trois-Rivières. Officially accredited and/or recognized by the Ministre de l'Éducation, de l'Enseignement supérieur et de la Recherche, Québec (Ministry of Education, Higher Education and Research, Quebec), École Nationale d'Administration Publique (ENAP) is a very small (uniRank enrollment range: 1,000-1,999 students) coeducational higher education institution. École Nationale d'Administration Publique (ENAP) offers courses and programs leading to officially recognized higher education degrees such as master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 48 years old higher-education institution has a selective admission policy based on students' past academic record and grades. International applicants are eligible to apply for enrollment.  ENAP also provides several academic and non-academic facilities and services to students including a library,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services.","http://www.enap.ca","ENAP","1969","L'Université de l'Administration Publique
The Public Administration University","555, Boulevard Charest Est

Quebec City (population range: 500,000-1,000,000)

G1K 9E5 Quebec Canada","+1 (418) 641 3000","+1 (418) 641 3060","Montréal, Quebec city, Gatineau, Saguenay, Trois-Rivières","555 Boulevard Charest Est

Quebec city G1K 9E5+1 (418) 641 3000","1,000-1,999","Semesters","300-399","Urban","Public","None","Non-Profit","Yes","Yes","Not reported","Yes","Not reported","Yes","[{""accreditations"":""\n\nMinistre de l'Éducation, de l'Enseignement supérieur et de la Recherche, Québec\n""}]","[{""affiliations"":""Universities Canada (UC)""}]","https://www.facebook.com/ENAP.CA/","https://twitter.com/Info_ENAP","https://www.linkedin.com/company/enap---cole-nationale-d%27administration-publique","","","Not reported","https://en.wikipedia.org/wiki/National_School_of_Administration","Not reported","0-1,000 US$ (0-750 Euro)","Not reported","2,500-5,000 US$ (1,800-3,700 Euro)","Not reported"
"Alberta","http://www.4icu.org/ca/alberta/","Ambrose University","http://www.4icu.org/reviews/9276.htm","Ambrose University","Established in 1921, Ambrose University is a non-profit private higher education institution located in the urban setting of the large city of Calgary (population range of 1,000,000-5,000,000 inhabitants), Alberta.  Officially accredited and/or recognized by the Alberta Advanced Education, Ambrose University (AUC) is a very small (uniRank enrollment range: 500-999 students) coeducational higher education institution formally affiliated with the Christian-Evangelical Christian and Missionary Alliance, Church of The Nazarene - www.nazarene.org religion. Ambrose University (AUC) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation degrees), bachelor degrees, master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 96 years old higher-education institution has a selective admission policy based on students' past academic record and grades.  The admission rate range is 50-60% making this Canadian higher education organization a averagely selective institution. International applicants are eligible to apply for enrollment.  AUC also provides several academic and non-academic facilities and services to students including a library,  housing,  sport facilities and/or activities,  financial aids and/or scholarships,  study abroad and exchange programs,  as well as administrative services.","http://ambrose.edu","AUC","1921","Black and gold","150 Ambrose Circle SW

Calgary (population range: 1,000,000-5,000,000)

T3H 0L5 Alberta Canada","+1 (403) 410 2900","+1 (403) 571 2556","null","150 Ambrose Circle SW

Calgary T3H 0L5+1 (403) 410 2900

800 461 1222","500-999","Semesters","50-99","Urban","Private","Christian-Evangelical Christian and Missionary Alliance, Church of The Nazarene - www.nazarene.org","Non-Profit","Yes","Yes","Yes","Yes","Yes","Not reported","[{""accreditations"":""\n\nAlberta Advanced Education\n""},{""accreditations"":""Alberta Council on Admissions and Transfer (ACAT)""},{""accreditations"":""Association for Biblical Higher Education (ABHE), Commission on Accreditation""},{""accreditations"":""Association of Theological Schools (ATS)""}]","[{""affiliations"":""Association of Theological Schools in the United States and Canada (ATS)""},{""affiliations"":""Christian Higher Education Canada (CHEC)""},{""affiliations"":""Council for Christian Colleges and Universities (CCCU)""}]","https://www.facebook.com/ambroseuniversity/","https://twitter.com/ambroseuc","https://www.linkedin.com/school/702083","https://www.instagram.com/ambroseuc/","","Not reported","https://en.wikipedia.org/wiki/Ambrose_University","50-60%","10,000-12,500 US$ (7,400-9,200 Euro)","10,000-12,500 US$ (7,400-9,200 Euro)","7,500-10,000 US$ (5,500-7,400 Euro)","7,500-10,000 US$ (5,500-7,400 Euro)"
"Ontario","http://www.4icu.org/ca/ontario/","University of Guelph","http://www.4icu.org/reviews/588.htm","University of Guelph","Established in 1964, University of Guelph is a non-profit public higher education institution located in the urban setting of the large town of Guelph (population range of 50,000-249,999 inhabitants), Ontario. This institution has also branch campuses in the following location(s): Ridgetown, Kemptville. Officially accredited and/or recognized by the Ministry of Advanced Education and Skills Development, Ontario, University of Guelph (U of G) is a large (uniRank enrollment range: 20,000-24,999 students) coeducational higher education institution. University of Guelph (U of G) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation degrees), bachelor degrees, master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 53 years old higher-education institution has a selective admission policy based on students' past academic record and grades.  The admission rate range is 70-80% making this Canadian higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.  U of G also provides several academic and non-academic facilities and services to students including a library,  housing,  sport facilities and/or activities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services.","http://www.uoguelph.ca","U of G","1964 Origins date back to 1874","Rerum cognoscere causas
To discover the reason for things","50 Stone Road East

Guelph (population range: 50,000-249,999)

N1G 2W1 Ontario Canada","+1 (519) 824 4120","+1 (519) 822 0130","Ridgetown, Kemptville","50 Stone Road East, UC Level 3

Guelph N1G 2W1+1 (519) 824 4120 x53684","20,000-24,999","Semesters","over-5,000","Urban","Public","None","Non-Profit","Yes","Yes","Yes","Yes","Yes","Yes","[{""accreditations"":""\n\nMinistry of Advanced Education and Skills Development, Ontario\n""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Council of Ontario Universities (COU)""},{""affiliations"":""Canadian University Society for Intercollegiate Debate (CUSID)""},{""affiliations"":""Canadian Bureau for International Education (CBIE)""}]","https://www.facebook.com/uofguelph/","https://twitter.com/uofg","https://www.linkedin.com/company/university-of-guelph","https://www.instagram.com/uofguelph/","","Not reported","https://en.wikipedia.org/wiki/University_of_Guelph","70-80%","5,000-7,500 US$ (3,700-5,500 Euro)","over 20,000 US$ (14,700 Euro)","12,500-15,000 US$ (9,200-11,000 Euro)","15,000-17,500 US$ (11,000-12,900 Euro)"
"British Columbia","http://www.4icu.org/ca/british-columbia/","Kwantlen Polytechnic University","http://www.4icu.org/reviews/540.htm","Kwantlen Polytechnic University","Established in 1981, Kwantlen Polytechnic University is a non-profit public higher education institution located in the urban setting of the small city of Surrey (population range of 250,000-499,999 inhabitants), British Columbia. This institution has also branch campuses in the following location(s): Richmond, Langley, Cloverdale. Officially accredited and/or recognized by the Ministry of Advanced Education, British Columbia, Kwantlen Polytechnic University (KPU) is a large (uniRank enrollment range: 20,000-24,999 students) coeducational higher education institution. Kwantlen Polytechnic University (KPU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation degrees), bachelor degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 36 years old higher-education institution has a selective admission policy based on entrance examinations. International applicants are eligible to apply for enrollment.  KPU also provides several academic and non-academic facilities and services to students including a library,  sport facilities and/or activities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services.","http://www.kpu.ca","KPU","1981","Through Tireless Effort, Knowledge and Understanding","12666-72nd Avenue

Surrey (population range: 250,000-499,999)

V3W 2M8 British Columbia Canada","+1 (604) 599 2000","+1 (604) 599 2449","Richmond, Langley, Cloverdale","12666-72nd Avenue

Surrey V3W 2M8+1 (604) 599 2000","20,000-24,999","Semesters","1,000-1,499","Urban","Public","None","Non-Profit","Yes","Yes","Not reported","Yes","Yes","Yes","[{""accreditations"":""\n\nMinistry of Advanced Education, British Columbia\n""},{""accreditations"":""Council for Interior Design Accreditation (CIDA)""},{""accreditations"":""Accreditation Council for Business Schools and Programs (ACBSP)""},{""accreditations"":""Canadian Association of Schools of Nursing (CASN)""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Colleges and Institutes Canada (CICan)""},{""affiliations"":""Association of Commonwealth Universities (ACU)""},{""affiliations"":""Canadian Bureau for International Education (CBIE)""},{""affiliations"":""Canadian University Press (CUP)""}]","https://www.facebook.com/kwantlenU/","https://twitter.com/kwantlenU","https://www.linkedin.com/school/19543","https://www.instagram.com/kwantlenu/","","Not reported","https://en.wikipedia.org/wiki/Kwantlen_Polytechnic_University","Not reported","2,500-5,000 US$ (1,800-3,700 Euro)","10,000-12,500 US$ (7,400-9,200 Euro)","Not reported","Not reported"
"Ontario","http://www.4icu.org/ca/ontario/","York University","http://www.4icu.org/reviews/625.htm","York University","Founded in 1959, York University is a non-profit public higher education institution located in the urban setting of the large city of Toronto (population range of 1,000,000-5,000,000 inhabitants), Ontario.  Officially accredited and/or recognized by the Ministry of Advanced Education and Skills Development, Ontario, York University (YU) is a very large (uniRank enrollment range: 40,000-44,999 students) coeducational higher education institution. York University (YU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees, master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. International students are welcome to apply for enrollment.  YU also provides several academic and non-academic facilities and services to students including a library,  housing,  sport facilities and/or activities,  study abroad and exchange programs,  as well as administrative services.","http://www.yorku.ca","YU","1959","Tentanda via
The way must be tried","4700 Keele Street

Toronto (population range: 1,000,000-5,000,000)

M3J 1P3 Ontario Canada","+1 (416) 736 5002","+1 (416) 736 5913","null","+1","40,000-44,999","Semesters","Not reported","Urban","Public","None","Non-Profit","Yes","Not reported","Yes","Yes","Yes","Not reported","[{""accreditations"":""\n\nMinistry of Advanced Education and Skills Development, Ontario\n""},{""accreditations"":""American Psychological Association (APA)""},{""accreditations"":""Ontario College of Teachers (OCT)""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Council of Ontario Universities (COU)""},{""affiliations"":""Canadian University Society for Intercollegiate Debate (CUSID)""},{""affiliations"":""Canadian Bureau for International Education (CBIE)""},{""affiliations"":""Canadian University Press (CUP)""}]","https://www.facebook.com/yorkuniversityhome/","https://twitter.com/YorkUnews","https://www.linkedin.com/school/167012","https://www.instagram.com/yorkuofficial/","","Not reported","https://en.wikipedia.org/wiki/York_University","Not reported","5,000-7,500 US$ (3,700-5,500 Euro)","over 20,000 US$ (14,700 Euro)","5,000-7,500 US$ (3,700-5,500 Euro)","12,500-15,000 US$ (9,200-11,000 Euro)"
"Nova Scotia","http://www.4icu.org/ca/nova-scotia/","Saint Mary's University","http://www.4icu.org/reviews/575.htm","Saint Mary's University","Founded in 1802, Saint Mary's University is a non-profit public higher education institution located in the urban setting of the small city of Halifax (population range of 250,000-499,999 inhabitants), Nova Scotia.  Officially accredited and/or recognized by the Department of Labour and Advanced Education, Nova Scotia, Saint Mary's University (SMU) is a medium-sized (uniRank enrollment range: 7,000-7,999 students) coeducational higher education institution. Saint Mary's University (SMU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation degrees), bachelor degrees, master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 215 years old higher-education institution has a selective admission policy based on students' past academic record and grades.  The admission rate range is 60-70% making this Canadian higher education organization a somewhat selective institution. International students are welcome to apply for enrollment.  SMU also provides several academic and non-academic facilities and services to students including a library,  housing,  sport facilities and/or activities,  financial aids and/or scholarships,  study abroad and exchange programs,  as well as administrative services.","http://www.smu.ca","SMU","1802","One University. One World. Yours","923 Robie Street

Halifax (population range: 250,000-499,999)

B3H 3C3 Nova Scotia Canada","+1 (902) 420 5662","+1 (902) 420 5073","null","923 Robie Street

Halifax B3H 3C3+1 (902) 420 5415","7,000-7,999","Semesters","300-399","Urban","Public","None","Non-Profit","Yes","Yes","Yes","Yes","Yes","Not reported","[{""accreditations"":""\n\nDepartment of Labour and Advanced Education, Nova Scotia\n""},{""accreditations"":""Association to Advance Collegiate Schools of Business (AACSB International)""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Association of Commonwealth Universities (ACU)""},{""affiliations"":""University of the Arctic (UArctic)""},{""affiliations"":""Canadian University Society for Intercollegiate Debate (CUSID)""},{""affiliations"":""Canadian Bureau for International Education (CBIE)""}]","https://www.facebook.com/smuhalifax/","","https://www.linkedin.com/school/19316","","","Not reported","https://en.wikipedia.org/wiki/Saint_Mary%27s_University_(Halifax)","60-70%","5,000-7,500 US$ (3,700-5,500 Euro)","10,000-12,500 US$ (7,400-9,200 Euro)","2,500-5,000 US$ (1,800-3,700 Euro)","7,500-10,000 US$ (5,500-7,400 Euro)"
"Ontario","http://www.4icu.org/ca/ontario/","University of Windsor","http://www.4icu.org/reviews/620.htm","University of Windsor","Established in 1857, University of Windsor is a non-profit public higher education institution located in the urban setting of the large town of Windsor (population range of 50,000-249,999 inhabitants), Ontario.  Officially accredited and/or recognized by the Ministry of Advanced Education and Skills Development, Ontario, University of Windsor (UW) is a large (uniRank enrollment range: 15,000-19,999 students) coeducational higher education institution. University of Windsor (UW) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation degrees), bachelor degrees, master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 160 years old higher-education institution has a selective admission policy based on students' past academic record and grades.  The admission rate range is 60-70% making this Canadian higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.  UW also provides several academic and non-academic facilities and services to students including a library,  sport facilities and/or activities,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services.","http://www.uwindsor.ca","UW","1857","Bonitatem, disciplinam, scientiam
Goodness, discipline, knowledge","401 Sunset Avenue

Windsor (population range: 50,000-249,999)

N9B 3P4 Ontario Canada","+1 (519) 253 3000","+1 (519) 973 7050","null","401 Sunset Avenue

Windsor N9B 3P4+1 (519) 253 3000","15,000-19,999","Semesters","1,500-1,999","Urban","Public","None","Non-Profit","Yes","Not reported","Not reported","Yes","Yes","Yes","[{""accreditations"":""\n\nMinistry of Advanced Education and Skills Development, Ontario\n""},{""accreditations"":""American Psychological Association (APA)""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Council of Ontario Universities (COU)""},{""affiliations"":""U Sports""},{""affiliations"":""Canadian University Society for Intercollegiate Debate (CUSID)""},{""affiliations"":""Canadian Bureau for International Education (CBIE)""},{""affiliations"":""Canadian University Press (CUP)""}]","https://www.facebook.com/UWindsor/","https://twitter.com/uwindsor","https://www.linkedin.com/school/14123","https://www.instagram.com/uwindsor/","","Not reported","https://en.wikipedia.org/wiki/University_of_Windsor","60-70%","5,000-7,500 US$ (3,700-5,500 Euro)","10,000-12,500 US$ (7,400-9,200 Euro)","5,000-7,500 US$ (3,700-5,500 Euro)","12,500-15,000 US$ (9,200-11,000 Euro)"
